Date,Open,High,Low,Close,Volume
8/21/2018,147,147.119995,145.889999,145.970001,3106900
8/22/2018,146.009995,146.160004,145.190002,145.240005,2389000
8/23/2018,145.039993,145.520004,144.75,145.369995,2220400
8/24/2018,145.460007,146.089996,144.869995,146.039993,2776600
8/27/2018,146.940002,147.619995,146.520004,146.690002,3491600
8/28/2018,146.949997,146.990005,146.190002,146.589996,2455300
8/29/2018,146.869995,147.929993,146.600006,147.539993,3153800
8/30/2018,147.029999,147.300003,145.25,145.929993,3340400
8/31/2018,145.720001,146.779999,145.539993,146.479996,3488500
9/4/2018,145.979996,146.190002,144.809998,145.679993,3326200
9/5/2018,145.190002,146.75,145.050003,146.660004,3126500
9/6/2018,146.880005,147.660004,145.539993,146.389999,4248800
9/7/2018,145.940002,146.5,145.119995,145.449997,4693100
9/10/2018,146.600006,147.300003,145.559998,145.649994,3618300
9/11/2018,146,146.990005,145.25,146.490005,3374700
9/12/2018,146.369995,147.979996,146.029999,146.570007,4506700
9/13/2018,147.350006,149,147.119995,148.949997,5346500
9/14/2018,148.850006,149.300003,147.779999,148.330002,3452100
9/17/2018,148.440002,149.070007,147.770004,147.940002,3551900
9/18/2018,147.759995,148.990005,147.470001,148.559998,3629400
9/19/2018,148.630005,149.960007,148.229996,149.059998,4246200
9/20/2018,149.580002,151.380005,149.440002,151.149994,5952200
9/21/2018,151.479996,152.600006,150.740005,151.350006,19947500
9/24/2018,151.100006,151.199997,149.460007,150.029999,4265000
9/25/2018,149.910004,150.410004,148.360001,148.910004,4397500
9/26/2018,152.399994,153.350006,151.339996,151.610001,7401900
9/27/2018,152.009995,152.389999,151.160004,151.5,3477600
9/28/2018,151.160004,151.630005,150.789993,151.210007,3305800
10/1/2018,151.710007,153.419998,151.710007,153,3757400
10/2/2018,152.990005,153.839996,152.5,153.75,3029900
10/3/2018,154,154.360001,152.800003,153.220001,3315300
10/4/2018,151.690002,152.800003,150.360001,151.309998,4237900
10/5/2018,150.899994,151.789993,147.869995,149.029999,4602200
10/8/2018,148.5,149.070007,147.179993,148.389999,3239300
10/9/2018,148.080002,148.360001,146.929993,147.240005,3642400
10/10/2018,147.5,147.690002,142.5,142.690002,5547700
10/11/2018,142.619995,144.190002,138.779999,139.020004,8710500
10/12/2018,141.119995,141.539993,139.080002,140.850006,6563400
10/15/2018,140.380005,142.259995,140.139999,141.130005,4965500
10/16/2018,142.929993,145.449997,141.580002,145.119995,8695500
10/17/2018,135.889999,137.149994,133.419998,134.050003,19464000
10/18/2018,132.729996,133.399994,130.039993,130.550003,10011700
10/19/2018,130.649994,131.889999,127.959999,129.100006,7791600
10/22/2018,129.580002,130.440002,128.399994,130.020004,5719500
10/23/2018,129.020004,131.899994,128.410004,131.210007,6463600
10/24/2018,131.169998,131.690002,127,127.209999,5710300
10/25/2018,127.25,127.790001,125.139999,126.449997,10304300
10/26/2018,125.209999,125.779999,123.709999,124.790001,8767000
10/29/2018,119.339996,123.949997,118.300003,119.639999,20450400
10/30/2018,120.480003,121.5,115.150002,115.400002,21458600
10/31/2018,116.489998,116.5,114.089996,115.43,21645000
11/1/2018,115.5,117,115.110001,116.830002,13626700
11/2/2018,117.510002,117.75,114.540001,115.669998,10592700
11/5/2018,116.099998,120.769997,116,120.059998,9144600
11/6/2018,120.699997,123.809998,120.309998,123.120003,9597400
11/7/2018,123.790001,125.059998,122.330002,124.839996,12382700
11/8/2018,122.660004,124.400002,122.629997,123.379997,10396400
11/9/2018,123.610001,124.57,121.959999,123.540001,6961800
11/12/2018,123.5,123.57,120.650002,120.900002,5379100
11/13/2018,121.190002,122.25,119.900002,120.839996,4084400
